id,name,rank,observations_count,ancestry
47791,Myrtales,order,1740943
123763,Mucorales,order,12264
56259,Trichiales,order,36167
47794,Raphidioptera,order,17879
48248,Hypocreales,order,95309
51120,Nymphaeales,order,130724
54755,Teloschistales,order,184153
152699,Marchantiales,order,75517
152943,Crassiclitellata,order,100239
48515,Solanales,order,1484884
17550,Piciformes,order,998110
48796,Malvales,order,1393021
48526,Dipsacales,order,1393552
57519,Hymenochaetales,order,228598
50586,Venerida,order,105161
47329,Liliales,order,1181700
47458,Octopoda,order,26360
55253,Jungermanniales,order,54825
53293,Comatulida,order,7811
83204,Siphonaptera,order,2475
49669,Santalales,order,165952
573,Galliformes,order,480312
71291,Vitales,order,418841
49392,Bryales,order,110410
64620,Cycadales,order,44773
49553,Scutigeromorpha,order,39126
67673,Gigartinales,order,34449
85538,Podocopida,order,1444
50815,Auriculariales,order,153381
122326,Salpida,order,3624
71289,Saxifragales,order,1411292
495758,Sessilida,order,5100
50425,Chordeumatida,order,3485
49175,Siluriformes,order,56627
85507,Calanoida,order,1746
533431,Chitonida,order,69416
64222,Tricladida,order,46928
68609,Trentepohliales,order,13727
47195,Cornales,order,595849
50898,Magnoliales,order,297828
123884,Naviculales,order,7304
70233,Oxalidales,order,450322
152211,Corticiales,order,8305
48331,Semaeostomeae,order,47794
152937,Sabellida,order,36392
85514,Cyclopoida,order,4476
26039,Crocodylia,order,109406
48708,Phallales,order,85893
49146,Commelinales,order,366840
67566,Pelecaniformes,order,1807319
196615,Myliobatiformes,order,46590
49333,Cyprinodontiformes,order,59655
119123,Anostraca,order,4792
1443237,Stemonitidales,order,27796
57776,Ceramiales,order,20876
55154,Gomphales,order,88816
1435134,Malacalcyonacea,order,41084
48219,Fucales,order,86465
372828,Caliciales,order,135135
48301,Zygentoma,order,34518
55115,Entomophthorales,order,9402
47314,Anguilliformes,order,46388
122518,Arhynchobdellida,order,10168
54642,Ulvales,order,35070
49796,Stomatopoda,order,4764
55013,Geastrales,order,32439
47388,Characiformes,order,17409
517637,Spongillida,order,2018
67336,Nostocales,order,16700
1303726,Acanthuriformes,order,323479
533971,Eulipotyphla,order,106959
47690,Geraniales,order,738298
57737,Haplosclerida,order,16316
208557,Oscillatoriales,order,3024
69755,Haplotaxida,order,597
117423,Pertusariales,order,43558
180410,Ammonitida,order,568
126919,Ploima,order,4878
53278,Dacrymycetales,order,101952
58769,Selaginellales,order,64031
85525,Littorinimorpha,order,186050
52526,Thelephorales,order,42779
43367,Primates,order,280614
47350,Cantharellales,order,147288
85543,Spirostreptida,order,13502
48900,Uropygi,order,6874
152550,Candelariales,order,42981
152773,Parachela,order,956
122720,Sphaerotheriida,order,5278
541417,Aplousobranchia,order,23413
42540,Didelphimorphia,order,61651
67639,Cingulata,order,31389
71281,Cucurbitales,order,326154
1303737,Blenniiformes,order,192634
47272,Rajiformes,order,12165
144014,Capnodiales,order,5415
67314,Phyllodocida,order,18615
49235,Clupeiformes,order,20618
48665,Sipuncula,order,1877
47622,Lycopodiales,order,151946
71268,Suliformes,order,481321
125752,Lecideales,order,19210
67853,Porellales,order,41516
152933,Cheilostomatida,order,18950
551313,Pectinida,order,41452
51485,Beloniformes,order,15868
85521,Harpacticoida,order,972
63667,Poecilosclerida,order,11951
85506,Atheriniformes,order,10880
345798,Chlamydomonadales,order,3370
48370,Pottiales,order,71058
48808,Laurales,order,260640
67570,Falconiformes,order,337012
51430,Cladophorales,order,9772
559244,Cathartiformes,order,265455
47540,Celastrales,order,277697
133862,Polyxenida,order,3166
67961,Sepiida,order,17622
71272,Aquifoliales,order,247158
47864,Megaloptera,order,58680
775839,Mytilida,order,64298
85529,Mugiliformes,order,22276
85532,Mysida,order,1591
1122192,Polytrichales,order,137565
48925,Leptothecata,order,15244
775804,Aplysiida,order,29086
47177,Tetraodontiformes,order,118439
67573,Caprimulgiformes,order,587004
55452,Arthoniales,order,36415
69831,Rhizostomeae,order,24774
60244,Piperales,order,212483
51022,Dictyotales,order,13637
448038,Stolidobranchia,order,26790
245929,Arcellinida,order,2332
2114,Coraciiformes,order,312548
117795,Ectocarpales,order,11452
123849,Zygnematales,order,20268
67677,Gracilariales,order,2282
437852,Gordioidea,order,949
64085,Orthotrichales,order,49015
67563,Podicipediformes,order,253279
245099,Pantopoda,order,1849
49501,Valvatida,order,69913
83796,Architaenioglossa,order,47779
42711,Diprotodontia,order,116139
152823,Siphonophorae,order,16792
67569,Phoenicopteriformes,order,39447
117956,Ostropales,order,38002
56118,Grimmiales,order,41260
775841,Unionida,order,75257
123881,Cymbellales,order,3183
67565,Procellariiformes,order,63348
67562,Gaviiformes,order,58221
1623,Cuculiformes,order,162199
47521,Salmoniformes,order,70357
467966,Centrohelida,order,333
774762,Anomopoda,order,6265
54927,Systellommatophora,order,25834
58701,Pleosporales,order,7139
48069,Carcharhiniformes,order,30821
49482,Dendrochirotida,order,12763
27880,Gymnophiona,order,1965
523723,Boraginales,order,1309927
1383599,Echinolampadacea,order,14020
56079,Glomerida,order,8083
208350,Chroococcales,order,2498
153143,Callipodida,order,3963
1303725,Gobiiformes,order,97140
50870,Lamniformes,order,4507
67668,Gelidiales,order,2631
152939,Terebellida,order,6370
47245,Syngnathiformes,order,78662
152925,Lobata,order,3456
121553,Polyzoniida,order,1539
246133,Myopsida,order,7746
775849,Trochida,order,77689
49784,Cephalaspidea,order,17752
20487,Struthioniformes,order,9441
51878,Dioscoreales,order,61456
56438,Metzgeriales,order,9355
48837,Ophiurida,order,1393
85516,Eunicida,order,2949
152496,Peridiniales,order,694
4,Gruiformes,order,563364
117869,Verrucariales,order,11569
152934,Ctenostomatida,order,2826
118780,Dictyoceratida,order,6314
152453,Pleurostomatida,order,574
246134,Oegopsida,order,914
919546,Philodinida,order,2123
83718,Tanaidacea,order,252
142258,Euglenales,order,4266
131330,Rhodymeniales,order,3802
1276251,Urostylida,order,296
347984,Phlebobranchia,order,6944
152898,Spatangoida,order,3806
47748,Equisetales,order,206543
152547,Eurotiales,order,5462
51198,Zoantharia,order,11298
774991,Amphilepidida,order,15345
81977,Platydesmida,order,2774
85508,Camarodonta,order,55784
48922,Anthoathecata,order,29884
64516,Proteales,order,427413
47233,Perciformes,order,216675
117930,Acarosporales,order,17473
1276261,Tintinnida,order,316
51505,Fragilariales,order,1412
152275,Thalassiosirales,order,650
54730,Schizomida,order,466
1094443,Umbilicariales,order,34385
152364,Chromatiales,order,190
